*************************************************************************************
Model = RU_v4_detail
Report produced by REPORT_HF_AGAINST_TIME procedure at 21:47 Tue 14 Apr 2020
HF name = SM_training.SDF
HF calculated on 21:44 Tue 14 Apr 2020, wavelength is SOLAR
Geometry is Whole Model
Calculation method used was RAYTRACING, DIRECT on Faces
Reported values are heat flux (W/m2)
*************************************************************************************
Face 1, [Node 1]

  Angle         Time        IS
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 90, [Node 63]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 91, [Node 64]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 92, [Node 64]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 93, [Node 65]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 94, [Node 65]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 95, [Node 66]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 96, [Node 66]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 97, [Node 67]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 98, [Node 67]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 99, [Node 68]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 100, [Node 68]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 101, [Node 69]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 102, [Node 69]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 103, [Node 70]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 104, [Node 70]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 105, [Node 71]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 106, [Node 71]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 107, [Node 72]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 108, [Node 72]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 109, [Node 73]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 110, [Node 73]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


TOTAL ENERGY RECEIVED BY MODEL (W)

  Angle         Time      IS
   0.00         0.00   28.94
   5.00    440047.68   28.83
  10.00    880095.37   28.91
  15.00   1320143.05   29.16
  20.00   1760190.74   29.19
  25.00   2200238.42   29.01
  30.00   2640286.10   28.60
  35.00   3080333.79   27.97
  40.00   3520381.47   27.12
  45.00   3960429.15   26.07
  50.00   4400476.84   24.83
  55.00   4840524.52   23.40
  60.00   5280572.21   21.79
  65.00   5720619.89   20.01
  70.00   6160667.57   18.08
  75.00   6600715.26   16.01
  80.00   7040762.94   13.82
  85.00   7480810.63   11.53
  90.00   7920858.31    8.92
                            
Average                23.51


HEAT FLUX TO INACTIVE SIDES (W)

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00
